Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Cotton(lint),2005,Rabi,Madhya Pradesh,395444.18,1890223.18,1835.37,168.27,3.86,4.78
Cotton(lint),2005,Summer,Madhya Pradesh,376737.49,1781968.33,1655.45,172.83,2.86,4.73
Sugarcane,2005,Whole Year,Madhya Pradesh,396451.41,39649105.51,1969.32,36.14,3.75,100.01
Sugarcane,2005,Kharif,Madhya Pradesh,334706.96,30337838.85,689.37,201.77,3.78,90.64
Soybean,2005,Whole Year,Madhya Pradesh,129523.64,551770.71,1510.47,236.05,2.92,4.26
Soybean,2005,Rabi,Madhya Pradesh,243223.43,732102.52,1803.72,52.47,3.47,3.01
Groundnut,2005,Summer,Madhya Pradesh,378134.62,1334815.21,1105.87,67.69,3.44,3.53
Groundnut,2005,Whole Year,Madhya Pradesh,346998.92,1721114.64,2105.14,64.94,3.52,4.96
Rapeseed &Mustard,2005,Whole Year,Madhya Pradesh,155974.43,416451.73,1517.65,39.61,3.95,2.67
Rapeseed &Mustard,2005,Summer,Madhya Pradesh,341339.31,669025.05,444.26,34.65,1.59,1.96
Gram,2005,Rabi,Madhya Pradesh,307641.27,646046.67,1202.62,87.46,4.49,2.1
Gram,2005,Kharif,Madhya Pradesh,74048.91,193267.66,1830.66,175.67,1.15,2.61
Arhar/Tur,2005,Kharif,Madhya Pradesh,103909.13,197427.35,636.4,212.29,4.34,1.9
Arhar/Tur,2005,Whole Year,Madhya Pradesh,144673.86,380492.25,1703.96,186.63,1.06,2.63
Moong(Green Gram),2005,Summer,Madhya Pradesh,166152.59,367197.22,1955.84,129.37,4.36,2.21
Moong(Green Gram),2005,Rabi,Madhya Pradesh,349580.29,790051.46,1787.66,207.4,3.47,2.26
Potato,2005,Whole Year,Madhya Pradesh,132728.5,6244875.92,2041.3,233.18,1.0,47.05
Potato,2005,Rabi,Madhya Pradesh,111769.21,4029280.02,1405.14,77.36,0.89,36.05
Onion,2005,Summer,Madhya Pradesh,121412.54,3315776.47,1835.61,95.18,2.16,27.31
Onion,2005,Kharif,Madhya Pradesh,270209.24,5998645.13,924.99,175.95,3.9,22.2
Tomato,2005,Summer,Madhya Pradesh,326066.25,11673171.75,1748.49,60.64,0.64,35.8
Tomato,2005,Whole Year,Madhya Pradesh,217319.19,7171533.27,778.63,102.66,3.54,33.0
Banana,2005,Summer,Madhya Pradesh,240641.87,13687709.57,1988.56,47.33,3.75,56.88
Banana,2005,Whole Year,Madhya Pradesh,439871.14,23810224.81,761.55,175.57,3.73,54.13
Rice,2005,Kharif,Maharashtra,47503.24,381451.02,1545.57,178.36,0.34,8.03
Rice,2005,Whole Year,Maharashtra,392000.62,2979204.71,1685.36,198.36,1.66,7.6
Wheat,2005,Rabi,Maharashtra,297538.64,1919124.23,1395.4,155.47,3.57,6.45
Wheat,2005,Kharif,Maharashtra,74217.77,500227.77,1189.49,182.21,2.75,6.74
Maize,2005,Rabi,Maharashtra,392366.71,2381665.93,794.59,234.93,1.65,6.07
Maize,2005,Summer,Maharashtra,296589.15,1672762.81,1296.75,146.63,3.29,5.64
Cotton(lint),2005,Summer,Maharashtra,244344.15,808779.14,1287.9,47.12,1.93,3.31
Cotton(lint),2005,Whole Year,Maharashtra,92008.44,340431.23,1912.81,66.58,4.33,3.7
Sugarcane,2005,Summer,Maharashtra,191759.25,16360899.21,1022.68,107.92,4.45,85.32
Sugarcane,2005,Whole Year,Maharashtra,326503.32,41567137.67,1276.0,213.42,4.07,127.31
Soybean,2005,Kharif,Maharashtra,446463.93,1415290.66,910.94,105.42,1.85,3.17
Soybean,2005,Whole Year,Maharashtra,106488.55,394007.64,1796.8,115.12,2.79,3.7
Groundnut,2005,Kharif,Maharashtra,230920.53,833623.11,1143.46,44.52,2.08,3.61
Groundnut,2005,Summer,Maharashtra,267016.82,1180214.34,1442.95,169.15,0.61,4.42
Rapeseed &Mustard,2005,Rabi,Maharashtra,436250.84,1243314.89,864.64,167.91,1.6,2.85
Rapeseed &Mustard,2005,Whole Year,Maharashtra,436434.56,1256931.53,1216.82,79.57,0.52,2.88
Gram,2005,Summer,Maharashtra,151982.93,516741.96,1891.99,120.49,1.27,3.4
Gram,2005,Kharif,Maharashtra,75585.34,151170.68,701.71,37.7,3.37,2.0
Arhar/Tur,2005,Rabi,Maharashtra,379954.62,1025877.47,1850.21,152.92,3.93,2.7
Arhar/Tur,2005,Summer,Maharashtra,121752.45,227677.08,502.76,141.55,4.23,1.87
Moong(Green Gram),2005,Rabi,Maharashtra,101503.18,153269.8,724.02,48.6,0.64,1.51
Moong(Green Gram),2005,Summer,Maharashtra,179121.86,374364.69,1263.81,174.05,0.27,2.09
Potato,2005,Summer,Maharashtra,390629.27,12578262.49,1218.53,138.28,2.3,32.2
Potato,2005,Whole Year,Maharashtra,13973.13,502753.22,954.27,177.98,1.07,35.98
Onion,2005,Whole Year,Maharashtra,42708.37,1300042.78,1610.68,123.19,3.93,30.44
Onion,2005,Kharif,Maharashtra,377232.82,11486739.37,2100.31,173.48,2.34,30.45
Tomato,2005,Whole Year,Maharashtra,389141.67,14869103.21,1783.33,53.75,3.62,38.21
Tomato,2005,Summer,Maharashtra,423423.47,19532524.67,1888.31,170.06,2.68,46.13
Banana,2005,Kharif,Maharashtra,272426.79,17334516.65,972.6,211.95,4.47,63.63
Banana,2005,Summer,Maharashtra,130264.18,7796311.17,596.4,166.61,3.49,59.85
Rice,2005,Summer,Odisha,363626.75,2559932.32,1772.11,197.54,2.07,7.04
Rice,2005,Kharif,Odisha,245247.85,1061923.19,410.37,98.16,1.78,4.33
Wheat,2005,Rabi,Odisha,171498.66,1056431.75,1387.3,155.26,2.55,6.16
Wheat,2005,Kharif,Odisha,264384.24,1472620.22,703.2,164.94,3.47,5.57
Maize,2005,Rabi,Odisha,388568.48,1935071.03,1334.35,130.63,0.31,4.98
Maize,2005,Whole Year,Odisha,179770.84,902449.62,1444.31,142.06,2.81,5.02
Cotton(lint),2005,Kharif,Odisha,336220.63,1502906.22,1687.88,139.46,3.74,4.47
Cotton(lint),2005,Rabi,Odisha,32540.48,152614.85,2118.39,167.49,1.83,4.69
Sugarcane,2005,Rabi,Odisha,158554.4,12283209.37,582.56,132.03,1.3,77.47
Sugarcane,2005,Summer,Odisha,361460.14,30662663.68,1370.49,95.37,2.82,84.83
Soybean,2005,Summer,Odisha,439537.99,1687825.88,1881.71,139.72,0.73,3.84
Soybean,2005,Kharif,Odisha,83471.02,273784.95,931.5,196.62,1.0,3.28
Groundnut,2005,Summer,Odisha,367179.02,1729413.18,1072.32,140.56,0.68,4.71
Groundnut,2005,Kharif,Odisha,357287.86,1482744.62,1563.89,66.7,1.75,4.15
Rapeseed &Mustard,2005,Summer,Odisha,115412.43,368165.65,943.71,183.71,3.86,3.19
Rapeseed &Mustard,2005,Whole Year,Odisha,345111.93,862779.82,669.47,119.03,0.86,2.5
Gram,2005,Whole Year,Odisha,388327.29,780537.85,790.13,50.1,0.3,2.01
Gram,2005,Rabi,Odisha,246240.49,586052.37,817.5,112.09,2.76,2.38
Arhar/Tur,2005,Summer,Odisha,123905.84,349414.47,1474.68,171.93,2.1,2.82
Arhar/Tur,2005,Whole Year,Odisha,7611.58,17126.06,1013.96,201.93,2.79,2.25
Moong(Green Gram),2005,Kharif,Odisha,123735.22,134871.39,542.95,47.99,4.05,1.09
Moong(Green Gram),2005,Summer,Odisha,102382.05,130025.2,1038.99,44.58,2.43,1.27
Potato,2005,Summer,Odisha,105553.58,3171885.08,1372.02,214.82,3.0,30.05
Potato,2005,Whole Year,Odisha,150184.36,5858691.88,1605.08,238.77,3.05,39.01
Onion,2005,Whole Year,Odisha,201135.38,5179236.04,1000.43,151.9,0.58,25.75
Onion,2005,Rabi,Odisha,339799.6,8090628.48,706.86,115.99,2.02,23.81
Tomato,2005,Whole Year,Odisha,299377.82,11672741.2,1831.81,224.71,1.21,38.99
Tomato,2005,Rabi,Odisha,446621.33,17646008.75,2068.6,143.39,3.82,39.51
Banana,2005,Whole Year,Odisha,40561.43,2523732.17,1759.49,56.82,3.75,62.22
Banana,2005,Summer,Odisha,16754.09,945265.76,945.63,85.25,1.75,56.42
Rice,2005,Summer,Punjab,107955.37,861483.85,1317.5,203.31,1.4,7.98
Rice,2005,Whole Year,Punjab,258777.03,1767447.11,1419.84,112.12,2.35,6.83
Wheat,2005,Whole Year,Punjab,367943.64,3024496.72,1085.12,214.37,3.93,8.22
Wheat,2005,Summer,Punjab,137453.27,907191.58,545.65,114.63,0.95,6.6
Maize,2005,Kharif,Punjab,430816.64,2696912.17,1431.47,225.87,2.67,6.26
Maize,2005,Whole Year,Punjab,273063.74,1687533.91,650.56,218.63,3.77,6.18
Cotton(lint),2005,Rabi,Punjab,179699.03,652307.48,663.47,107.18,0.49,3.63
Cotton(lint),2005,Kharif,Punjab,434637.06,1842861.13,1178.5,95.48,2.38,4.24
Sugarcane,2005,Summer,Punjab,383226.16,34616819.03,400.6,33.71,2.79,90.33
Sugarcane,2005,Whole Year,Punjab,254216.27,24320870.55,745.21,74.47,2.28,95.67
Soybean,2005,Whole Year,Punjab,312918.34,1298611.11,2170.62,80.23,0.81,4.15
Soybean,2005,Summer,Punjab,45920.09,157046.71,1645.89,43.08,2.39,3.42
Groundnut,2005,Rabi,Punjab,277041.14,1194047.31,951.26,161.02,2.47,4.31
Groundnut,2005,Whole Year,Punjab,399028.59,1743754.94,1209.61,70.87,1.78,4.37
Rapeseed &Mustard,2005,Kharif,Punjab,80010.77,300840.5,1096.74,232.4,1.27,3.76
Rapeseed &Mustard,2005,Summer,Punjab,355756.81,1245148.83,1447.87,173.0,1.02,3.5
Gram,2005,Rabi,Punjab,5948.29,18201.77,834.16,234.93,3.65,3.06
Gram,2005,Summer,Punjab,49826.42,157451.49,1386.33,125.42,3.83,3.16
Arhar/Tur,2005,Whole Year,Punjab,57676.29,166684.48,1956.39,81.13,3.0,2.89
Arhar/Tur,2005,Rabi,Punjab,386874.57,1218654.9,1106.31,230.81,0.77,3.15
Moong(Green Gram),2005,Summer,Punjab,142275.4,313005.88,1638.64,121.9,1.3,2.2
