N,P,K,temperature,humidity,ph,rainfall,label
77,69,26,23.59,65.23,6.26,94.2,maize
65,45,13,23.5,68.88,5.96,108.61,maize
63,33,20,25.12,75.1,5.97,101.18,maize
77,46,23,24.13,55.54,6.94,105.7,maize
70,51,21,23.15,61.7,5.86,84.62,maize
92,53,18,24.43,47.91,6.77,58.9,maize
73,36,14,25.4,62.19,6.37,84.3,maize
83,48,14,24.99,62.04,5.42,78.58,maize
96,56,18,21.63,63.07,7.24,90.73,maize
83,58,20,21.85,63.82,6.16,84.44,maize
86,48,22,22.3,65.47,5.2,98.74,maize
82,57,8,27.72,64.16,6.75,69.4,maize
85,37,17,27.29,63.86,6.31,98.05,maize
83,49,21,28.51,64.65,6.3,100.76,maize
91,59,22,19.64,74.8,5.63,89.54,maize
68,47,21,23.3,67.53,7.01,91.8,maize
75,57,24,19.43,68.58,6.55,80.54,maize
94,46,20,22.07,65.09,5.65,63.4,maize
97,39,16,17.12,61.17,5.54,109.63,maize
90,41,29,24.95,63.05,4.95,119.36,maize
61,31,24,28.6,73.31,6.48,93.92,maize
88,55,21,22.76,64.62,5.82,80.79,maize
57,47,16,19.74,66.08,6.9,98.77,maize
59,38,23,20.04,63.65,6.48,70.47,maize
79,34,17,23.3,55.44,6.42,84.71,maize
84,50,25,22.81,62.42,6.26,93.15,maize
78,48,17,20.84,56.58,7.07,66.34,maize
69,40,23,21.76,72.49,5.86,89.18,maize
67,69,15,23.27,68.8,6.41,82.22,maize
76,48,19,24.91,78.26,5.92,64.45,maize
76,73,16,26.6,75.07,5.92,93.53,maize
97,44,19,21.05,58.91,5.88,66.64,maize
78,40,20,18.61,66.99,6.62,55.09,maize
82,60,15,26.68,67.51,5.85,84.16,maize
84,48,22,20.2,66.02,5.49,83.33,maize
67,40,24,25.23,68.65,5.65,80.25,maize
92,49,29,23.48,66.15,6.05,87.0,maize
76,55,23,20.54,57.01,5.28,92.62,maize
64,26,21,28.73,64.96,6.62,86.23,maize
76,57,18,23.17,66.93,5.87,99.88,maize
75,40,22,20.25,65.17,6.2,101.29,maize
83,47,23,25.98,68.35,6.21,65.32,maize
65,44,17,22.03,65.34,6.46,83.94,maize
83,48,12,20.15,64.14,5.6,94.0,maize
96,60,19,26.23,65.89,6.03,75.8,maize
74,44,20,22.9,65.02,6.42,102.86,maize
89,33,9,24.84,56.8,6.09,67.45,maize
56,53,23,21.06,49.45,5.93,90.88,maize
60,49,19,23.95,65.72,5.71,102.95,maize
76,47,16,21.39,59.69,6.11,110.68,maize
61,31,25,21.98,60.99,6.72,75.92,maize
99,54,18,27.89,61.37,6.57,89.49,maize
93,63,20,20.62,67.76,5.86,115.2,maize
79,44,20,19.13,59.17,6.8,75.15,maize
31,73,89,20.24,19.79,7.0,65.78,chickpea
52,64,77,21.46,18.47,7.48,101.65,chickpea
34,77,80,19.34,21.39,7.5,85.38,chickpea
48,64,73,16.71,10.9,8.12,68.97,chickpea
38,65,82,20.43,19.38,7.07,78.33,chickpea
42,65,92,19.78,19.0,7.57,91.73,chickpea
41,55,83,17.5,15.21,7.53,92.38,chickpea
40,71,93,19.28,24.61,7.53,62.39,chickpea
46,71,90,20.15,16.38,6.81,77.91,chickpea
33,62,84,22.14,17.98,6.82,84.45,chickpea
49,61,78,18.83,14.45,7.56,78.79,chickpea
43,59,76,20.24,15.68,7.99,76.0,chickpea
41,77,68,15.28,12.22,7.81,74.48,chickpea
60,62,81,21.88,22.82,8.12,92.08,chickpea
48,73,86,17.7,14.35,7.3,78.3,chickpea
36,74,87,18.98,21.23,6.84,78.06,chickpea
34,49,79,18.56,21.34,7.55,69.76,chickpea
54,80,84,18.35,13.92,7.15,90.89,chickpea
55,83,76,16.56,17.22,6.59,83.23,chickpea
38,63,67,19.83,15.2,6.83,51.28,chickpea
39,85,93,17.89,14.99,7.49,70.02,chickpea
42,75,89,18.6,16.19,6.95,71.73,chickpea
38,71,87,17.19,21.28,7.19,79.79,chickpea
34,43,87,20.27,15.96,7.33,85.16,chickpea
27,62,86,16.29,17.68,6.76,84.66,chickpea
39,51,89,17.33,14.37,7.38,91.49,chickpea
31,68,83,20.19,17.33,7.15,71.72,chickpea
40,57,56,19.67,19.51,6.35,69.9,chickpea
44,88,80,17.34,16.25,7.85,73.54,chickpea
33,63,72,19.05,21.67,7.43,77.48,chickpea
37,52,87,18.64,16.26,8.58,82.99,chickpea
33,63,89,19.03,12.49,7.67,73.32,chickpea
54,78,76,21.36,17.0,7.64,84.85,chickpea
33,61,88,18.13,15.59,6.92,84.24,chickpea
56,57,80,21.62,16.56,7.48,69.38,chickpea
43,66,87,21.17,24.57,7.53,83.26,chickpea
41,64,82,18.21,17.31,7.83,69.93,chickpea
49,81,79,14.56,14.98,7.82,79.77,chickpea
32,62,86,19.89,16.08,7.15,76.08,chickpea
32,84,77,21.23,21.36,7.7,75.68,chickpea
43,67,72,19.45,13.26,7.78,75.35,chickpea
41,70,77,19.97,15.38,7.65,66.54,chickpea
41,87,71,17.44,18.34,7.37,83.51,chickpea
43,74,88,19.62,16.08,7.57,99.0,chickpea
38,58,88,18.56,10.28,7.64,74.65,chickpea
39,71,81,20.22,15.49,7.51,77.4,chickpea
45,74,72,20.97,15.19,7.62,83.67,chickpea
54,65,77,18.76,15.89,7.62,63.84,chickpea
31,57,87,22.22,16.49,7.23,80.7,chickpea
49,58,81,20.75,18.3,7.38,90.01,chickpea
18,74,74,15.14,18.33,7.85,78.63,chickpea
47,84,90,22.08,19.03,7.33,63.98,chickpea
38,59,97,18.45,17.17,7.52,80.44,chickpea
53,61,81,17.32,12.84,7.06,79.63,chickpea
36,61,68,18.63,12.29,7.6,80.82,chickpea
28,64,73,19.44,20.82,6.55,81.15,chickpea
38,74,81,17.3,15.84,6.98,90.76,chickpea
40,87,79,17.38,12.26,6.58,64.16,chickpea
42,73,67,20.59,15.35,7.36,96.12,chickpea
47,65,72,14.5,14.64,7.22,70.13,chickpea
38,68,78,17.5,17.31,7.48,69.1,chickpea
51,67,80,20.22,17.5,7.68,82.87,chickpea
35,71,70,19.02,16.7,7.22,78.71,chickpea
24,62,80,19.12,13.72,7.81,71.34,chickpea
47,72,74,22.35,13.22,7.67,90.01,chickpea
34,81,77,19.38,17.58,7.25,88.11,chickpea
46,50,90,15.48,19.9,7.75,69.09,chickpea
36,56,78,18.18,19.14,7.82,93.96,chickpea
35,65,66,17.19,19.69,7.95,67.66,chickpea
35,67,82,17.18,18.07,7.11,79.86,chickpea
44,68,76,18.58,16.53,7.15,77.41,chickpea
52,73,77,20.19,15.8,7.77,83.7,chickpea
39,72,67,16.55,13.22,7.36,97.33,chickpea
57,74,84,15.2,15.17,6.98,73.79,chickpea
38,63,64,20.3,13.58,7.4,100.74,chickpea
32,42,77,21.0,22.68,6.81,84.97,chickpea
36,66,101,15.79,17.56,7.49,90.86,chickpea
40,71,76,19.34,15.77,7.55,76.3,chickpea
43,67,89,18.7,11.48,7.8,70.94,chickpea
34,62,90,14.53,26.21,7.72,82.23,chickpea
39,70,84,20.09,18.47,7.34,78.03,chickpea
38,66,89,19.99,10.0,7.56,81.95,chickpea
39,64,88,20.7,14.48,7.46,70.28,chickpea
28,61,86,20.71,18.34,7.59,85.16,chickpea
34,72,86,20.31,20.37,7.58,83.51,chickpea
48,67,72,18.47,14.57,7.03,78.55,chickpea
33,64,64,19.23,16.8,6.97,86.59,chickpea
47,51,73,17.26,13.98,7.63,78.06,chickpea
37,47,85,16.32,16.98,7.41,93.61,chickpea
29,37,81,22.4,20.52,7.38,75.08,chickpea
46,58,83,19.81,19.98,8.4,83.92,chickpea
35,67,65,17.41,15.57,7.09,81.52,chickpea
33,79,80,18.78,15.82,7.36,88.25,chickpea
33,61,77,16.11,14.34,7.11,88.74,chickpea
42,69,86,18.53,17.97,7.26,82.65,chickpea
35,43,78,21.65,19.58,7.69,92.36,chickpea
40,69,75,18.17,18.65,7.78,78.61,chickpea
36,68,84,15.91,10.0,7.08,67.79,chickpea
35,66,76,21.7,17.78,7.42,86.22,chickpea
30,78,79,20.14,13.58,6.68,88.18,chickpea
22,59,17,22.58,17.44,6.19,86.99,kidneybeans
24,64,21,18.9,21.03,5.71,84.96,kidneybeans
24,62,19,17.91,12.63,5.64,153.25,kidneybeans
24,66,19,20.15,23.51,5.35,127.29,kidneybeans
24,72,21,20.14,23.96,5.88,97.92,kidneybeans
18,67,24,17.37,16.46,5.75,106.02,kidneybeans
21,68,19,23.38,16.0,5.45,102.93,kidneybeans
12,65,24,20.15,22.41,5.32,92.67,kidneybeans
19,64,23,21.33,17.71,5.77,114.96,kidneybeans
26,79,16,18.32,17.2,5.63,114.33,kidneybeans
25,66,19,20.43,18.68,6.33,72.85,kidneybeans
21,83,20,19.68,20.35,5.65,132.46,kidneybeans
9,79,15,19.51,20.1,5.88,73.04,kidneybeans
23,83,15,20.52,19.28,5.83,105.38,kidneybeans
17,70,25,19.68,24.12,5.31,85.87,kidneybeans
23,78,21,19.41,21.6,5.32,117.09,kidneybeans
25,63,18,20.68,20.07,5.68,146.99,kidneybeans
19,64,18,21.74,20.97,5.51,131.43,kidneybeans
28,62,14,22.32,19.2,5.94,65.6,kidneybeans
25,57,22,20.13,18.26,5.58,118.73,kidneybeans
21,71,25,16.66,27.26,5.73,87.02,kidneybeans
14,65,22,19.82,26.89,5.26,104.76,kidneybeans
14,69,22,19.17,12.49,5.76,113.73,kidneybeans
23,76,16,21.6,25.77,5.17,111.39,kidneybeans
18,66,21,19.03,19.24,5.71,83.26,kidneybeans
15,72,16,21.57,23.22,5.18,91.45,kidneybeans
26,59,18,21.12,24.34,5.62,93.05,kidneybeans
28,80,22,20.29,18.77,5.45,115.45,kidneybeans
23,78,21,16.79,25.28,5.4,97.32,kidneybeans
22,82,29,21.43,20.96,5.86,122.75,kidneybeans
19,81,20,21.2,23.93,5.83,121.78,kidneybeans
17,62,16,21.07,24.33,5.84,138.49,kidneybeans
20,72,16,19.25,24.03,5.95,99.12,kidneybeans
20,54,18,22.06,23.61,5.85,106.0,kidneybeans
21,61,22,21.03,23.32,5.54,61.93,kidneybeans
26,63,17,21.63,20.23,6.02,117.34,kidneybeans
24,56,23,20.67,20.31,5.74,69.48,kidneybeans
23,58,15,16.75,25.49,5.51,135.67,kidneybeans
18,53,16,22.82,21.05,5.54,108.2,kidneybeans
23,75,24,19.31,16.96,5.58,110.21,kidneybeans
16,59,21,19.99,21.71,5.47,100.39,kidneybeans
16,74,23,16.04,18.35,5.25,92.0,kidneybeans
20,55,17,17.89,22.33,5.72,90.57,kidneybeans
21,62,19,23.78,26.29,5.31,121.59,kidneybeans
25,57,22,23.48,17.67,5.42,125.35,kidneybeans
22,71,21,20.96,16.96,6.01,128.39,kidneybeans
19,66,15,21.23,23.6,5.68,127.49,kidneybeans
19,71,16,20.05,20.99,5.77,97.61,kidneybeans
20,73,18,16.57,27.72,6.11,79.15,kidneybeans
24,62,20,20.75,20.78,5.46,91.19,kidneybeans
16,60,19,18.53,23.99,6.15,93.4,kidneybeans
22,70,21,20.27,24.2,5.84,80.25,kidneybeans
25,74,17,20.18,23.99,5.64,126.46,kidneybeans
32,60,15,20.77,24.13,5.63,134.07,kidneybeans
14,72,18,23.88,28.57,5.47,94.01,kidneybeans
25,63,19,20.16,14.88,5.7,91.21,kidneybeans
18,78,16,21.89,20.62,5.62,120.81,kidneybeans
22,71,22,19.37,19.46,5.37,88.49,kidneybeans
35,76,15,17.19,23.29,5.86,115.98,kidneybeans
19,65,20,20.29,13.83,5.63,87.97,kidneybeans
21,90,21,19.41,24.83,5.84,113.4,kidneybeans
24,83,16,21.14,18.36,5.87,86.63,kidneybeans
18,64,22,22.12,17.24,5.72,90.81,kidneybeans
14,65,19,25.44,23.12,5.29,93.7,kidneybeans
26,83,15,15.96,28.15,5.82,87.63,kidneybeans
23,45,20,20.82,24.83,5.4,106.71,kidneybeans
16,69,17,19.2,18.11,5.9,122.17,kidneybeans
19,67,15,19.44,21.42,6.49,82.76,kidneybeans
28,74,20,23.97,22.9,5.82,103.94,kidneybeans
27,75,18,17.2,20.89,5.46,103.73,kidneybeans
27,63,19,20.23,24.57,5.03,92.87,kidneybeans
22,76,18,15.97,23.77,5.51,81.21,kidneybeans
17,65,18,15.25,24.74,6.08,118.03,kidneybeans
15,65,19,21.42,23.94,5.48,106.64,kidneybeans
23,78,22,21.84,21.89,6.12,113.2,kidneybeans
16,78,22,19.13,19.92,5.79,114.26,kidneybeans
21,69,25,22.46,22.27,5.98,84.35,kidneybeans
22,81,19,18.24,19.32,5.37,89.3,kidneybeans
19,55,20,22.09,18.42,6.16,115.22,kidneybeans
26,61,22,17.7,24.72,5.75,116.07,kidneybeans
15,59,21,18.01,23.22,5.29,121.96,kidneybeans
14,71,21,18.57,23.64,5.78,94.22,kidneybeans
15,51,21,16.66,21.93,5.62,118.58,kidneybeans
19,64,22,20.84,22.71,5.84,74.29,kidneybeans
24,71,16,19.56,21.46,5.66,111.68,kidneybeans
28,75,16,21.47,26.25,5.82,126.82,kidneybeans
31,75,20,22.4,22.11,5.71,97.97,kidneybeans
28,60,24,21.2,16.7,5.81,63.0,kidneybeans
24,74,18,20.37,28.44,5.55,83.82,kidneybeans
28,82,20,22.33,26.3,5.48,95.29,kidneybeans
27,80,21,18.16,28.55,5.54,98.3,kidneybeans
22,79,22,21.01,23.22,5.71,116.16,kidneybeans
8,64,20,17.57,22.95,5.64,140.11,kidneybeans
28,63,19,19.94,20.02,5.76,89.83,kidneybeans
15,71,21,18.33,24.73,5.51,110.06,kidneybeans
25,66,21,18.96,20.91,5.64,90.07,kidneybeans
20,54,18,19.47,20.7,5.63,103.76,kidneybeans
23,73,18,17.45,17.95,5.55,97.96,kidneybeans
17,56,18,20.5,23.68,5.53,96.74,kidneybeans
16,66,17,21.36,15.35,5.59,111.02,kidneybeans
20,88,21,25.19,47.52,4.91,146.99,pigeonpeas
15,74,18,27.41,44.82,6.67,140.97,pigeonpeas
29,73,21,28.62,49.97,4.84,142.03,pigeonpeas
24,66,15,27.57,56.52,6.42,147.45,pigeonpeas
24,64,14,25.39,55.81,5.66,142.92,pigeonpeas
18,82,24,33.25,47.2,5.95,111.08,pigeonpeas
27,57,20,24.96,45.06,5.38,133.8,pigeonpeas
17,62,22,24.94,49.1,6.41,136.17,pigeonpeas
16,65,23,28.19,45.34,6.04,121.44,pigeonpeas
23,70,19,25.6,43.57,6.07,179.72,pigeonpeas
16,70,13,26.24,47.84,5.35,125.59,pigeonpeas
16,69,19,22.1,37.4,5.5,160.44,pigeonpeas
6,63,18,31.17,46.07,5.99,152.53,pigeonpeas
9,73,20,28.97,67.63,4.76,192.12,pigeonpeas
18,69,19,26.64,45.15,5.96,111.07,pigeonpeas
23,63,16,26.57,54.29,5.53,157.96,pigeonpeas
16,73,22,32.32,47.12,6.13,151.45,pigeonpeas
26,61,22,27.21,47.68,5.85,155.31,pigeonpeas
19,68,24,30.16,52.35,5.57,126.77,pigeonpeas
24,74,24,26.19,46.85,4.98,139.19,pigeonpeas
24,63,21,27.22,49.62,5.23,151.13,pigeonpeas
5,65,15,30.71,51.89,6.03,187.03,pigeonpeas
15,80,22,27.11,53.68,5.25,128.39,pigeonpeas
16,62,16,30.76,46.71,5.98,134.74,pigeonpeas
10,69,14,27.53,41.16,6.79,171.78,pigeonpeas
20,77,17,29.06,49.0,5.93,180.81,pigeonpeas
23,69,15,25.3,47.39,5.85,120.74,pigeonpeas
32,79,21,27.88,46.94,5.32,150.94,pigeonpeas
21,57,21,27.31,38.46,5.37,138.66,pigeonpeas
29,71,15,28.92,40.26,6.34,137.22,pigeonpeas
19,77,16,24.21,45.08,6.32,111.02,pigeonpeas
5,63,21,30.7,45.68,5.59,177.85,pigeonpeas
10,63,20,28.82,45.45,5.82,86.79,pigeonpeas
16,70,17,27.85,50.23,5.63,153.26,pigeonpeas
15,65,21,28.09,45.07,5.91,166.87,pigeonpeas
9,76,18,28.76,53.99,5.11,131.26,pigeonpeas
18,60,25,25.56,45.22,5.9,118.95,pigeonpeas
18,69,19,27.47,45.35,5.04,157.04,pigeonpeas
28,67,20,29.43,41.65,6.65,154.06,pigeonpeas
28,61,25,29.64,50.77,5.92,142.79,pigeonpeas
26,68,14,24.91,47.07,5.95,147.59,pigeonpeas
26,51,20,23.16,51.8,5.75,159.49,pigeonpeas
15,77,23,29.16,47.35,6.09,131.33,pigeonpeas
24,80,23,25.88,49.81,5.15,163.31,pigeonpeas
22,52,16,26.99,46.5,5.2,158.72,pigeonpeas
21,65,17,30.32,56.28,5.56,133.7,pigeonpeas
22,64,19,29.55,38.45,6.46,150.82,pigeonpeas
17,66,19,23.37,55.47,5.82,160.08,pigeonpeas
24,58,21,27.03,52.23,4.74,146.52,pigeonpeas
16,70,21,25.93,44.44,5.74,126.58,pigeonpeas
24,64,11,26.76,42.81,4.98,118.06,pigeonpeas
20,77,20,26.18,50.28,5.57,131.63,pigeonpeas
14,52,18,28.1,47.52,5.59,125.36,pigeonpeas
23,56,22,25.19,44.24,5.07,136.46,pigeonpeas
24,71,22,29.01,42.48,5.63,129.5,pigeonpeas
26,57,22,29.93,57.15,5.6,166.81,pigeonpeas
31,62,15,23.0,51.56,4.86,139.69,pigeonpeas
22,68,21,28.26,54.39,5.32,132.08,pigeonpeas
16,73,22,28.83,53.92,5.21,190.68,pigeonpeas
27,72,25,23.56,45.38,5.43,167.04,pigeonpeas
14,73,24,29.44,49.42,5.31,127.83,pigeonpeas
26,73,19,26.66,37.87,5.26,196.79,pigeonpeas
13,68,23,24.56,48.92,6.27,149.31,pigeonpeas
34,53,23,27.27,51.86,6.02,130.67,pigeonpeas
21,52,21,28.45,51.19,6.33,158.19,pigeonpeas
20,59,17,30.67,55.18,5.68,150.15,pigeonpeas
15,76,21,32.55,43.61,5.61,154.79,pigeonpeas
23,65,17,29.9,51.61,5.34,182.89,pigeonpeas
25,68,20,29.09,43.69,5.82,95.19,pigeonpeas
24,54,24,26.87,46.94,5.49,141.8,pigeonpeas
27,47,23,28.55,41.96,5.26,190.91,pigeonpeas
15,57,23,28.55,43.31,5.91,123.36,pigeonpeas
25,75,21,28.6,56.81,5.8,119.45,pigeonpeas
22,83,16,26.8,50.08,5.77,124.44,pigeonpeas
25,85,20,25.44,40.26,5.93,176.6,pigeonpeas
22,66,18,24.97,52.17,6.26,110.36,pigeonpeas
27,71,24,24.34,41.17,5.73,161.57,pigeonpeas
28,72,19,25.13,54.15,5.32,189.71,pigeonpeas
18,79,22,27.36,45.4,5.63,159.71,pigeonpeas
20,62,19,27.9,37.36,6.03,124.51,pigeonpeas
14,53,14,24.31,44.45,6.78,135.85,pigeonpeas
20,70,20,27.51,42.02,6.53,194.18,pigeonpeas
11,58,19,25.29,50.53,5.44,203.13,pigeonpeas
25,68,23,30.46,45.18,5.39,150.95,pigeonpeas
24,68,15,25.69,47.63,5.76,198.31,pigeonpeas
13,71,24,33.38,45.98,6.05,163.24,pigeonpeas
20,66,21,21.37,51.41,5.86,143.44,pigeonpeas
30,61,18,32.68,43.84,5.52,145.32,pigeonpeas
24,68,16,26.37,44.96,5.76,159.65,pigeonpeas
22,52,23,28.33,54.92,6.02,176.53,pigeonpeas
22,77,21,27.46,59.36,6.24,163.34,pigeonpeas
13,56,20,28.06,44.93,5.87,188.72,pigeonpeas
23,57,19,25.69,46.06,5.59,137.06,pigeonpeas
13,65,18,20.38,58.26,6.34,139.59,pigeonpeas
20,57,25,32.44,48.78,6.31,153.38,pigeonpeas
13,63,20,26.56,46.91,5.75,146.98,pigeonpeas
20,58,17,24.49,52.89,4.75,177.84,pigeonpeas
26,64,12,26.8,47.68,5.29,136.12,pigeonpeas
27,72,17,23.71,46.36,5.69,161.4,pigeonpeas
17,71,25,29.74,47.76,5.71,140.08,pigeonpeas
26,44,20,28.2,49.99,5.98,54.23,mothbeans
20,51,18,30.54,47.74,7.83,33.52,mothbeans
23,50,17,28.95,60.68,5.47,56.03,mothbeans
8,42,24,26.94,45.96,6.68,71.68,mothbeans
11,41,24,31.82,52.38,6.06,71.96,mothbeans
28,52,17,28.0,52.04,7.0,65.51,mothbeans
25,41,24,28.73,57.12,7.68,39.88,mothbeans
20,44,15,28.79,68.07,5.7,50.68,mothbeans
24,48,19,25.5,54.4,6.35,29.1,mothbeans
26,53,20,28.56,59.45,6.93,60.04,mothbeans
19,55,20,28.49,45.38,6.97,42.68,mothbeans
17,43,16,32.35,60.99,7.95,38.77,mothbeans
